EMPRESA|CODIGOID|PRODUCTO|FECHA_ALTA|VALOR|CUENTA_ACTIVO|CUENTA_PASIVO|ANOS|PORCENTAJE|FECHA_ANTICIPADA|PRIMER_EJERCICIO|ULTIMO_EJERCICIO|AMORTIZA_PRIMERO|AMORTIZA_ANUAL|AMORTIZA_ULTIMO|FLAG_VEHICULO|FLAG_NAVE|FLAG_MAQUINARIA|FLAG_INFORMATICA|FLAG_MOBILIARIO
ALMERIENSE|35|AIRE ACONDICIONADO|2018-09-30|2067.10|6810000000|2815000000|10.00|10.00||2018|2028|52.66|206.71|154.05|0|0|0|0|0
ALMERIENSE|34|OBRA VIVIENDA MACENAS|2018-11-23|2718.65|6820000002|2820000002|18.97|5.27||2018|2037|15.30|143.27|124.49|0|0|0|0|0
ALMERIENSE|36|ORDENADOR PORTATIL APPLE MQD32Y/A|2019-10-01|845.61|6810000000|2817000001|5.00|20.00||2019|2024|42.62|169.12|126.51|0|0|0|1|0
ALMERIENSE|37|MOBILIARIO Y ELECTRODOM. MACENAS 2019|2019-10-16|3101.86|6810000000|2816000001|4.00|25.00||2019|2023|163.59|775.46|611.89|0|0|0|0|1
ALMERIENSE|38|MOBILIARIO Y ELECTRODOM. MACENAS 2020|2020-11-13|822.31|6810000000|2816000001|4.00|25.00||2020|2024|27.59|205.57|178.01|0|0|0|0|1
ALMERIENSE|39|OBRA VIVIENDA MACENAS 2022|2022-02-15|9662.49|6820000003|2820000003|20.00|5.00||2022|2042|423.56|483.12|59.65|0|0|0|0|0
ALMERIENSE|41|HONDA CRF 300 M.1685LXJ|2022-04-13|4977.07|6810000000|2818000009|5.00|20.00|2023-06-09|2022|2023|717.24|995.41|433.61|0|0|0|0|0
ALMERIENSE|42|RED SOCIAL KIT DIGITAL 24|2024-02-14|2000.00|6810000000|2806000000|5.00|20.00||2024|2029|352.87|400.00|47.13|0|0|0|0|0
ALMERIENSE|43|AIRE ACONDICIONADO MACENAS 24|2024-05-07|1240.38|6810000000|2815000000|5.00|20.00||2024|2029|162.43|248.07|85.67|0|0|0|0|0
ALMERIENSE|44|TABLONES MADERA MACENAS 24|2024-05-22|1056.00|6810000000|2815000003|5.00|20.00||2024|2029|129.61|211.20|81.59|0|0|0|0|0
ALMERIENSE|45|TV TCL 50C/MINILED QLED 2024|2024-06-07|549.00|6810000000|2819000000|5.00|20.00||2024|2029|62.57|109.80|47.23|0|0|0|0|0
ALMERIENSE|46|GOPRO HERO BLACK|2025-05-12|239.26|6810000000|2817000001|3.00|33.33||2025|2028|51.12|79.74|28.66|0|0|0|0|0
ALMERIENSE|47|AIRE ACONDICIONADO MACENAS 25|2025-07-21|1872.54|6810000000|2815000000|5.00|20.00||2025|2030|168.27|374.50|206.27|0|0|0|0|0
ALMERIENSE|49|TV QLED S.TQ65Q7F4AUXXC|2025-10-06|495.04|6810000000|2819000000|5.00|20.00||2025|2030|23.59|99.00|75.45|0|0|0|0|0
ALMERIENSE|50|HORNO Y SECADORA MACENAS 2025|2025-12-01|1056.99|6810000000|2816000001|5.00|20.00||2025|2030|17.95|211.39|193.48|0|0|0|0|0
